zcta19,zcta_area,count_ntm_stops,totpop13_17,stops_per_capita,stops_per_sqmile
"02176",4.767268,133,28132,4.72771,27.89858
"02180",6.64538,23,21967,1.04703,3.461051
"02184",14.5641,171,37082,4.6114,11.7412
"02186",13.31453,221,27527,8.02848,16.5984
"02188",3.865581,51,15301,3.33312,13.19336
"02189",4.162553,61,15146,4.02747,14.65447
"02190",7.640763,14,17415,.803905,1.832278
"02191",3.074988,66,8028,8.22123,21.4635
"02199",.05723,7,1177,5.94732,122.3135
"02203",.0317264,15,27,555.556,472.7924
"02210",1.468788,42,2609,16.0981,28.595
"02215",.8726689,79,25023,3.1571,90.52689
"02301",12.60647,392,61320,6.39269,31.09513
"02302",8.906128,217,33841,6.41234,24.36525
"02322",4.538714,38,4468,8.50492,8.372416
"02324",28.36906,15,27434,.546767,.5287451
"02330",39.72376,0,11617,0,0
"02332",27.85163,6,15572,.385307,.2154273
"02333",17.53427,0,14301,0,0
"02338",17.38685,1,7739,.129216,.0575147
"02339",15.62902,0,14328,0,0
"02341",15.7353,2,10560,.189394,.1271028
"02343",7.118055,56,10753,5.20785,7.867318
"02346",72.00213,14,24166,.579326,.1944387
"02347",36.32652,2,11292,.177117,.0550562
"02351",9.900344,5,16275,.30722,.505033
"02356",14.02682,1,12885,.07761,.071292
"02357",.5019054,1,1178,.848896,1.992407
"02359",23.5525,4,18230,.219419,.1698333
"02360",108.6465,32,58500,.547009,.2945333
"02364",19.76834,7,13210,.529902,.3541015
"02366",.973406,0,195,0,0
"02367",15.10526,0,2912,0,0
"02368",10.65993,190,33980,5.59152,17.82375
"02370",10.4011,4,17849,.224102,.3845748
"02375",14.70607,5,9938,.503119,.3399957
"02379",15.6758,2,7117,.281017,.1275852
"02382",6.958825,1,14864,.067277,.1437024
"02420",6.632144,45,14579,3.08663,6.785136
"02421",10.00876,88,18760,4.69083,8.792297
"02445",2.649455,76,20774,3.65842,28.68514
"02446",1.291689,55,30113,1.82645,42.57992
"02451",6.230373,113,18646,6.06028,18.13696
"02452",3.735169,53,15470,3.42599,14.18945
"02453",3.787376,109,28696,3.79844,28.77982
"02457",.1595521,0,1680,0,0
"02458",2.030169,53,12465,4.25191,26.10619
"02459",5.101736,92,19473,4.72449,18.03308
"02460",1.352461,36,9911,3.63233,26.61814
"02461",1.47119,41,7214,5.68339,27.86859
"02462",.5504512,7,1520,4.60526,12.71684
"02464",.5731636,22,3155,6.97306,38.38345
"02465",2.242803,44,12112,3.63276,19.61831
"02466",1.869631,33,8568,3.85154,17.65054
"02467",4.92791,42,22105,1.90002,8.522883
"02468",1.503243,3,5568,.538793,1.995685
"02472",4.169769,97,34715,2.79418,23.26268
"02474",3.316881,79,28028,2.81861,23.81756
"02476",2.16692,82,16964,4.83377,37.84173
"02478",4.714173,78,25940,3.00694,16.54585
"02481",5.738147,14,16309,.858422,2.439812
"02482",4.614906,18,11015,1.63414,3.900405
"02492",9.867585,12,20128,.596184,1.216103
"02493",17.33293,3,12027,.249439,.173081
"02494",2.851837,25,10301,2.42695,8.766279
"02532",16.92281,15,13337,1.12469,.8863775
"02534",2.863553,1,815,1.22699,.3492165
"02535",49.80661,17,1757,9.67558,.3413201
"02536",31.16317,6,19191,.312647,.192535
"02537",12.71432,3,6572,.456482,.2359545
"02538",5.003927,4,3571,1.12013,.7993722
"02539",47.31102,30,4292,6.98975,.6341018
"02540",12.47002,11,8294,1.32626,.8821159
"02542",30.75564,0,881,0,0
"02543",30.14444,3,909,3.30033,.0995209
"02553",.9272803,1,35,28.5714,1.078423
"02554",56.68402,190,10590,17.9415,3.351914
"02556",4.323555,2,2869,.697107,.4625823
"02557",11.50149,39,4675,8.34225,3.390866
"02558",2.277134,3,749,4.00534,1.317446
"02559",6.514913,2,4028,.496524,.306988
"02561",.6988962,0,325,0,0
"02562",3.673078,2,3008,.664894,.5445026
"02563",14.26331,10,9501,1.05252,.7010996
"02564",6.835103,28,312,89.7436,4.0965
"02568",10.5563,21,4100,5.12195,1.989333
"02571",24.70598,16,10940,1.46252,.6476165
"02575",29.25886,20,2417,8.27472,.6835535
"02576",10.15469,3,4873,.615637,.2954299
"02584",.0674092,0,10,0,0
"02601",9.424693,29,15063,1.92525,3.077023
