Zipcode,Latitude,Longitude,Total_Students,Free Lunch (%),Reduced Lunch (%),PCT_FreeReduced,Grad Rate (%),College Readiness (%),Stop Count,Stops Per Capita,Stops per Sq Mile
48225,42.4377,-82.9289,4448.0,0.758093525179856,0.0532823741007194,0.811375899280576,0.831099195710456,0.0294906166219839,13,0.911385,4.876781
48226,42.3333,-83.0484,269.0,0.732342007434944,0.0780669144981413,0.810408921933085,0.25,0.0,137,20.9576,113.3881
48227,42.3883,-83.1937,3375.0,0.888888888888889,0.0100740740740741,0.898962962962963,0.923611111111111,0.0648148148148148,284,6.7038,37.71543
48228,42.3547,-83.2168,5333.0,0.921620101256329,0.0168760547534221,0.938496156009751,0.613240418118467,0.0,307,5.72665,35.65638
48234,42.4337,-83.0434,2469.0,0.89469420818145,0.02106115836371,0.91575536654516,0.567901234567901,0.0,293,8.4812,37.40435
48235,42.4261,-83.1951,6343.0,0.758789216459089,0.0334226706605707,0.79221188711966,0.811320754716981,0.196506550218341,225,5.00879,35.99466
48236,42.4274,-82.9002,6062.0,0.141207522269878,0.0217749917518971,0.162982514021775,0.948924731182796,0.573888091822095,29,0.96799,3.29253
48237,42.4662,-83.184,6573.0,0.724631066484102,0.0241898676403469,0.748820934124449,0.728155339805825,0.0221606648199446,1,0.03353,0.1936788
48239,42.3756,-83.2889,4427.0,0.630223627738875,0.0686695278969957,0.698893155635871,0.888,0.113970588235294,48,1.34322,4.916386
48823,42.7388,-84.4764,3586.0,0.305075292805354,0.0518683770217513,0.356943669827105,0.916363636363636,0.54337899543379,236,4.65888,10.43272
48840,42.7531,-84.3989,2692.0,0.203194650817236,0.0312035661218425,0.234398216939079,0.962162162162162,0.568181818181818,32,2.50803,1.551316
48842,42.6394,-84.5242,5086.0,0.367675973259929,0.0477782147070389,0.415454187966968,0.86374695863747,0.278820375335121,37,1.71925,2.031288
48854,42.5796,-84.4561,3521.0,0.287418347060494,0.047713717693837,0.335132064754331,0.894117647058824,0.466192170818505,15,0.772519,0.1341113
48864,42.7053,-84.4187,7363.0,0.296889854678799,0.0444112454162705,0.34130110009507,0.710109622411693,0.440233236151603,86,3.79657,3.955903
48892,42.663,-84.1701,519.0,0.435452793834297,0.129094412331407,0.564547206165703,0.829787234042553,0.461538461538462,5,1.04668,0.0918674
48895,42.6967,-84.2926,1807.0,0.165467625899281,0.0249031543995573,0.190370780298838,0.921212121212121,0.471830985915493,18,1.59716,0.2155882
48906,42.7635,-84.558,2611.0,0.759862121792417,0.0356185369590195,0.795480658751436,0.736842105263158,0.0566037735849057,130,4.98084,3.871116
48910,42.7008,-84.549,5573.0,0.714875291584425,0.0529337879059752,0.7678090794904,0.693181818181818,0.0576131687242798,195,5.47599,12.53771
48911,42.6797,-84.5772,2107.0,0.730422401518747,0.045562411010916,0.775984812529663,0.0,0.0,163,4.13926,10.09516
48917,42.7376,-84.6244,5138.0,0.556052938886726,0.0815492409497859,0.637602179836512,0.662020905923345,0.131868131868132,77,2.39361,3.098086
49002,42.1938,-85.5639,4477.0,0.330131784677239,0.0513736877373241,0.381505472414563,0.860326894502229,0.379939209726444,53,2.60174,2.59289
49004,42.3518,-85.5621,1931.0,0.537027446918695,0.0807871569135163,0.617814603832211,0.75,0.212962962962963,42,2.60983,1.979213
49006,42.2922,-85.633,3520.0,0.569886363636364,0.0622159090909091,0.632102272727273,0.829850746268657,0.171014492753623,100,3.56227,15.32813
49008,42.2624,-85.6096,3564.0,0.642817059483726,0.05331088664422,0.696127946127946,0.352941176470588,0.0,92,5.54317,13.63035
49024,42.1974,-85.6194,6182.0,0.256227758007117,0.0486897444192818,0.304917502426399,0.902506963788301,0.420454545454545,39,1.34803,2.249869
49048,42.3189,-85.5152,2350.0,0.622978723404255,0.0217021276595745,0.64468085106383,0.520231213872832,0.242424242424242,106,4.22176,2.700186
49307,43.6897,-85.4797,2690.0,0.448698884758364,0.0698884758364312,0.518587360594795,0.792372881355932,0.417061611374408,2,0.096838,0.0143655
49315,42.8016,-85.7136,4975.0,0.21105527638191,0.0580904522613065,0.269145728643216,0.907407407407407,0.610526315789474,2,0.088429,0.0373087
49316,42.8187,-85.5244,4867.0,0.182247791247175,0.0505444832545716,0.232792274501746,0.950581395348837,0.591160220994475,3,0.134342,0.0517396
49319,43.2215,-85.5452,3794.0,0.360305745914602,0.069847127042699,0.430152872957301,0.908730158730159,0.351351351351351,1,0.059595,0.0112297
49321,43.0578,-85.6845,1877.0,0.492274906766116,0.0836441129461907,0.575919019712307,0.850299401197605,0.274509803921569,12,0.704391,0.4550028
